id_str,created_at,text
969833565776236544,2018-03-03 07:15:15,RT @_juliansequeira: It's finally here! The @pybites Bites of Py #Python code challenge platform is now open to subscription! The library i…
969833518070104064,2018-03-03 07:15:04,RT @jcastle13: Day 53: Completed the PyBites Code Challenges | Bite 43. Force keyword arguments https://t.co/cTJGSDRezC. @Pybites100 #100Da…
969830497852448768,2018-03-03 07:03:03,Free @PacktPub ebook of the day: Building Machine Learning Projects with TensorFlow - https://t.co/plr4ib8Vnc
969468112025219072,2018-03-02 07:03:04,Free @PacktPub ebook of the day: Mastering C# and .NET Framework - https://t.co/plr4ib8Vnc
969203189085073408,2018-03-01 13:30:21,"RT @RobHimself1982: @kennethreitz pulled up Hitchhikers Guide to Python on Amazon to buy, saw your website, went there, found your music an…"
969184747862790144,2018-03-01 12:17:05,"@_juliansequeira @pybites It was, is and will be a blast! Thanks mate, keep it 'challenging' and fun"
969180467667914753,2018-03-01 12:00:04,RT @pybites: Absolutely stoked to announce that our PyBites in-browser #code challenge platform is now 100% live! Subscribe to Bites of Py…
969105721106116608,2018-03-01 07:03:03,Free @PacktPub ebook of the day: Principles of Data Science - https://t.co/plr4ib8Vnc
968979245753094144,2018-02-28 22:40:29,RT @jcastle13: Day 50: Completed PyBites Code Challenges | Bite 32. Don't let mutability fool you https://t.co/yyiXPtymDQ &amp; PyBites Code Ch…
968743333907652608,2018-02-28 07:03:03,Free @PacktPub ebook of the day: Angular Test-Driven Development - Second Edition - https://t.co/plr4ibqwLM
968406838164230145,2018-02-27 08:45:57,RT @RobHimself1982: Day 51 of #100DaysOfCode and I just cracked Bite of Py 16. Special PyBites date generator - on behalf of @pybites I Cha…
968406772808671233,2018-02-27 08:45:41,RT @jcastle13: Day 49: Completed PyBites Code Challenges | Bite 6. PyBites Die Hard https://t.co/dUh0LtKRE6 &amp; PyBites Code Challenges | Bit…
968380943621918720,2018-02-27 07:03:03,Free @PacktPub ebook of the day: Docker Cookbook - https://t.co/plr4ibqwLM
968242051174330368,2018-02-26 21:51:08,"RT @PyImageSearch: Fast, more accurate face detection with OpenCV's ""hidden"" deep learning face detector: https://t.co/QWRKoUq9Tv #Python #…"
