id_str,created_at,text
1142777756691791872,2019-06-23 12:53:43,RT @ppmadalin: Day 10: #100DaysOfCode progress: today I worked on Testing your code with pytest / D1 (lectures) https://t.co/HxhQTWumMV #Py…
1142777714417524736,2019-06-23 12:53:33,"RT @python_tip: pyjokes: jokes as a service. Command line tool or #python api. Enjoy!

https://t.co/VyCoAj4pPq
#tgif https://t.co/B7AFYx1koB"
1142777635623321601,2019-06-23 12:53:14,RT @vulpinus777: Day 9: #100DaysOfCode progress: today I worked on API Star (D1) via @pybites @talkpython - https://t.co/lIvN9C2kXM #Python
1142777592606593025,2019-06-23 12:53:04,RT @ppmadalin: I am the 237th Pythonista who cracked Bite of Py 89. Playing with lists and dicts - on behalf of @pybites I Challenge You!…
1142777582678630403,2019-06-23 12:53:02,RT @ericchou: Got the kids' summer projects figured out. 😀👇 #Python @adafruit #pygamer #pybadge Jason Briggs: Python for Kids. https://t.co…
1142777564374687744,2019-06-23 12:52:57,RT @Anthlis: Day 77: #100DaysOfCode progress: today I worked on Getting Started with Python Flask / D2 (practice) A big night tonight; crea…
1142777541553467392,2019-06-23 12:52:52,RT @TalkPython: It's @talkpython episode #217: Notebooks vs data science-enabled scripts with @davorabbit and @kvkampf https://t.co/n1KZ1Ha…
1142689070121799681,2019-06-23 07:01:19,"Packt Free Learning of the day:
Mastering Node.js [Video] by Joris Hermans (published: Jan 2017)… https://t.co/Hgl4u7jyqM"
1142380501157732352,2019-06-22 10:35:10,RT @pybites: How to Parse Hidden HTML With #Selenium Headless Mode and Deploy it to #Heroku https://t.co/asY05LK34c #Python
1142326595631374336,2019-06-22 07:00:58,"Packt Free Learning of the day:
Augmented Reality Game Development by Micheal Lanham (published: Jan 2017)… https://t.co/GtPKWOVKIT"
1141988871141580801,2019-06-21 08:38:58,RT @Anthlis: Day 75: #100DaysOfCode progress: today I worked on Automate tasks with Selenium / D3. Read the docs tonight. Already use Flask…
1141988854511079424,2019-06-21 08:38:54,"Packt Free Learning of the day:
jQuery Design Patterns by Thodoris Greasidis (published: Feb 2016)… https://t.co/NiVFFdqE5d"
1141953596931674112,2019-06-21 06:18:48,RT @pybites: New PyBites article: The First Step in Contributing to Open Source Projects https://t.co/IUwHr8Jbqb by @Gwalmachi
1141654031628197888,2019-06-20 10:28:26,"RT @brianokken: Test &amp; Code 78: ""I don't write tests because ...""
Some developers either don't write tests, or don't like writing tests.
Wh…"
1141654003048226816,2019-06-20 10:28:19,@francoisnoel83 @LinkedIn Reading about the impact our #python platform has made for you is enormously inspiring an… https://t.co/Fu45lUKcE2
1141653668980305920,2019-06-20 10:27:00,RT @francoisnoel83: Découvrez mon dernier article : How I prepared myself to get my first job as a developer (and how the traditional way o…
1141653634482089985,2019-06-20 10:26:52,RT @shraddha_shaha1: I am the 206th Pythonista who cracked Bite of Py 22. Write a decorator with argument - on behalf of @pybites I Challen…
1141653607831560192,2019-06-20 10:26:45,RT @real_super_aj: I am the 948th Pythonista who cracked Bite of Py 5. Parse a list of names - on behalf of @pybites I Challenge You!  http…
1141266899029958656,2019-06-19 08:50:07,RT @TalkPython: Dig into Visual Studio Code with Dan Taylor ( @qubitron ) on episode 216 of @talkpython: https://t.co/p2ngZcAj6s
1140923191503859712,2019-06-18 10:04:20,"RT @Anthlis: A couple of bitesofpy challenges completed tonight, after a break while I've concentrated on #100DaysOfCode. Needed to bolster…"
1140127884570484738,2019-06-16 05:24:04,"RT @pybites: New https://t.co/UYcrpuWnxX feature announcement ...

You put in a lot of hard work on our platform, but how can you show the…"
1139934648526606338,2019-06-15 16:36:13,@pyracode_net @real_super_aj @TalkPython To adapt Mark Twain's quote: whenever you find yourself _nesting list comp… https://t.co/wVED9IQ9wH
1139934178793967618,2019-06-15 16:34:21,RT @francoisnoel83: Hello folks🤘Here is my profile page on PyBites (https://t.co/LqrBuDbnNl). This is my favorite site to train in Python 🐍…
1139934165372153857,2019-06-15 16:34:18,@francoisnoel83 @pybites Awesome!
1139898533144879105,2019-06-15 14:12:43,PyBites Platform | profile page of Bob Belderbos https://t.co/79DNMDxZYj
