id_str,created_at,text
1211619111551127552,2019-12-30 12:04:41,Recently I ordered a portable laptop table from @Pepperfry . The table is really comfortable to use and its lightwe? https://t.co/sRV4YhHGrw
1099933422951096320,2019-02-25 07:25:38,RT @erinroseglass: what if public libraries were open late every night and we could engage in public life there instead of having to choose?
1099933220127137792,2019-02-25 07:24:50,RT @mat_kelcey: if you are new to machine learning and actually serious about adding value across a wide range of real business problems th?
1098608948486189057,2019-02-21 15:42:39,@AndrewYNg @robot_MD Congrats! Professor. Wish you all a very happy life.
1085048537220448256,2019-01-15 05:38:25,"@WeArePirple Guys, can you please suggest some open source projects for my Homework #12. I am not able to come up with the projects."
1082849019506831360,2019-01-09 03:58:19,@WeArePirple Sure. Thanks for the reply.
1082683512874921985,2019-01-08 17:00:39,"@WeArePirple I finished all the assignments and the projects. For the Final Exam, it says 'Don't start on your fina? https://t.co/fLpfk1vO6n"
1082342600227446784,2019-01-07 18:25:59,@WeArePirple Hey guys!!. I am not able to arrive at a perfect flow for the connection mechanism in the multiplayer? https://t.co/71hBv88ZIZ
1082140575208521728,2019-01-07 05:03:12,"@WeArePirple Project #3
https://t.co/EgSk1oiQmG
I will soon upload a new project for playing this game over the network"
1081458000387325952,2019-01-05 07:50:54,"@WeArePirple Project #2 Hangman
https://t.co/Xa80tIZPA0"
1081423076976410624,2019-01-05 05:32:08,"@WeArePirple Homework Assignment #9
https://t.co/ly7aMqpel6"
1080875619288838145,2019-01-03 17:16:43,"@WeArePirple Python Project #1 Connect 4
https://t.co/0xEgHD9bQO"
1076837589745786881,2018-12-23 13:51:02,"@WeArePirple Python Homework #8
https://t.co/yljCljslCE"
1076738354417299464,2018-12-23 07:16:43,"@WeArePirple Python Homework #7
https://t.co/5MauY5FLdT"
1076725584946843648,2018-12-23 06:25:58,"@WeArePirple Python Assignment #6 
https://t.co/AaXovkt6Wq"
1076706257300410368,2018-12-23 05:09:10,"@WeArePirple Python Assignment #5
https://t.co/m48NI6lnZs"
1076702609719799808,2018-12-23 04:54:40,Thanks for the reply!. https://t.co/YITXFX7T55
1076541749273608193,2018-12-22 18:15:28,"@WeArePirple Python Homework #4
https://t.co/wWHiAr7TR9"
1076413074859413504,2018-12-22 09:44:10,"@WeArePirple Python Homework #3
https://t.co/XTI49VF0m8"
1076400033090523136,2018-12-22 08:52:21,"@WeArePirple Python Homework #2
https://t.co/hgdn0mAMpm"
1076379732738859009,2018-12-22 07:31:41,"@WeArePirple Python Homework #1
https://t.co/QK1Zee3gRt"
1050246122135007233,2018-10-11 04:46:02,Thanks to seedr. I am now able to download torrent files in a matter of time!. @seedrcoil
1040975372932661248,2018-09-15 14:47:23,Just setting up my Twitter. #myfirstTweet
