id_str,created_at,text
1009509595046440960,2018-06-20 18:53:37,"Our GitHub Editor Tools team is always working to build the best experience—and to do that, want to hear from the p… https://t.co/7icxvAa6s0"
1009145046128570375,2018-06-19 18:45:02,There's one week left to join the GitHub Learning Lab Explorer Challenge! Complete the challenge by 11:59pm PT on J… https://t.co/bOXUWsnf4h
1009106118206001157,2018-06-19 16:10:21,"Starting today, schools can access our enterprise-level software and features for free by joining the new… https://t.co/DjHLmzPzZR"
1008877245895725058,2018-06-19 01:00:54,Announcing the release of GitHub for Unity 1.0 featuring the git workflow you love with support for Git LFS and fil… https://t.co/SywyXbs7sc
1007696362576728064,2018-06-15 18:48:29,GIFs on the command line? Our friends at Google have you covered: https://t.co/gxkWGPfP6v #GIFforCLI https://t.co/Ep2EcbyrG3
1007641074477817856,2018-06-15 15:08:47,"RT @kcpike: Think you could tweet about this job posting better than me? If so, apply to be @github's Social Media Marketing Manager:  http…"
1007307938883612674,2018-06-14 17:05:02,"It just got easier to work across GitHub right from your project boards. Click on a card to view, edit, react, and… https://t.co/6LveLfMskr"
1006984022445182978,2018-06-13 19:37:54,"RT @preetster: wired-elements (https://t.co/TmMBzfUjnI) has reached 5k stars on Github! 🎉🎊 ✨🎉On that note, anyone interested in contribu…"
1006929977042862080,2018-06-13 16:03:09,"#GitHubSatelliteTokyo Day Two wrapped up with talks on business development and how, no matter the industry, every… https://t.co/JubS20ybkm"
1006687641692180482,2018-06-13 00:00:11,We wrapped up #GitHubSatelliteTokyo Day One with a great reminder about contributing to the open source community:… https://t.co/rcP72KrZE8
1006657503395045378,2018-06-12 22:00:26,Spotted: Manga at #GitHubSatelliteTokyo! Speaker Ai Minatogawa uses it to teach those who are brand new to the Git… https://t.co/N8tzivx2n2
1006627611764805632,2018-06-12 20:01:39,Designer Hano Megumi didn't have a background in programming but that couldn't stop her from becoming a passionate… https://t.co/qVz8t29CMv
1006597211625607168,2018-06-12 18:00:51,"""The future will be more challenging than anything we can imagine, but more rewarding as well. We're here to delive… https://t.co/eb3BVO5vyu"
1006567087593189376,2018-06-12 16:01:09,Community was the focus of #GitHubSatelliteTokyo Day One. Speakers and attendees shared their favorite open source… https://t.co/RInFmxLHWV
1006530655000424450,2018-06-12 13:36:23,"The May Release Radar is out, featuring open source highlights from:🔵 Electron 2.0🔵 Rancher 2.0🔵 Mitmproxy 4.0a… https://t.co/PEwlUMmAV1"
