id_str,created_at,text
1009864934396710913,2018-06-21 18:25:37,"@devtazv2 @thelynchpinau @TalkPython Platform supports 5 simultaneous 100 days grid, anything/anybody stopping you? ;)"
1009813389844140033,2018-06-21 15:00:48,RT @mohhinder: I just cracked Bite of Py 112. Social Media Username Validator - on behalf of @pybites I Challenge You!  https://t.co/qLiHXJ…
1009790537954553856,2018-06-21 13:29:59,@danielholme Not an easy one!Remember @mohhinder?
1009789428825559040,2018-06-21 13:25:35,RT @noloman: I just cracked Bite of Py 113. Filter words with non-ascii characters - on behalf of @pybites I Challenge You!  https://t.co/Z…
1009777833441480707,2018-06-21 12:39:30,RT @thelynchpinau: Day 67: #100DaysOfCode progress: I wrote a quick script with pyperclip that I can use everyday. Writing that script  2 m…
1009774155770757121,2018-06-21 12:24:54,If you've ever wondered about #encoding in #Python give this awesome introductory article a read! Written by… https://t.co/tZ1wzK1lfa
1009730711912419328,2018-06-21 09:32:16,RT @mohhinder: Day 24: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Greg Price - Clearer Code at Scale: Static Types at Zuli…
1009730695395201024,2018-06-21 09:32:12,RT @jonchewyl: Day 5: #100DaysOfCode progress: today I reiterated my understanding on counters and file processing by working on Bite 18 -…
1009730678563528704,2018-06-21 09:32:08,RT @vipinreyo: Day 8: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Chalmer Lowe - Statistics and probability: your first ste…
1009730667301822464,2018-06-21 09:32:05,RT @NaryD1: Day 7: #100DaysOfCode progress: today I worked on Bite 110 - Type conversion and exception handling https://t.co/J6yehcsZ50 #Py…
1009730606031306752,2018-06-21 09:31:51,Join our Platform and earn your very first PyBites Ninja Belt: https://t.co/bke1c7wPgT by coding our 10 Free Intro… https://t.co/G8pG5N8IzY
1009702165860966400,2018-06-21 07:38:50,RT @danielholme: I just cracked Bite of Py 57. Create a simple calculator that receives command line arguments @pybites https://t.co/ySlt69…
1009702151482994688,2018-06-21 07:38:46,@thelynchpinau @devtazv2 @TalkPython You guys are so close!
1009677823928233984,2018-06-21 06:02:06,Free @PacktPub ebook of the day: Web Scraping with #Python - https://t.co/t2aLcaSm56
1009576640177897473,2018-06-20 23:20:02,"RT @raymondh: #python programming tip:  Consider a ""principle of least force"".* Remove line endings with rstrip() instead of strip().* U…"
1009502323574525960,2018-06-20 18:24:44,RT @danielholme: I just cracked Bite of Py 51. When does Python 2 die on Planet Miller? @pybites https://t.co/zfj23wCJf6 #Python #CodeChall…
1009502304838483968,2018-06-20 18:24:39,RT @vipinreyo: Day 7: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Alex Gaynor - Learning From Failure: Post Mortems https:/…
1009387460151922688,2018-06-20 10:48:18,RT @mohhinder: Day 23: #100DaysOfCode progress: today I watched a #PyCon2018 talk: James Bennett - A Bit about Bytes: Understanding Python…
1009365393864101890,2018-06-20 09:20:37,@NaryD1 Congrats!
1009364827352064001,2018-06-20 09:18:22,RT @jonchewyl: Day 4: #100DaysOfCode progress: today I worked on multiple Bites. But I've learnt something new and that is with Bite 11 - E…
1009364762084433920,2018-06-20 09:18:07,RT @NaryD1: Day 6: #100DaysOfCode progress: today I worked on Bite 109 - Workout dict lookups and raising an exception https://t.co/zazHzeX…
1009364654378889216,2018-06-20 09:17:41,RT @python_tip: #pythontip from @singhjayp:Search multiple dicts using ChainMapfrom collections import ChainMapcountryCapital = {'US'…
1009315431885074432,2018-06-20 06:02:05,Free @PacktPub ebook of the day: Mastering #Python Design Patterns - https://t.co/t2aLcaSm56
1009309376161767424,2018-06-20 05:38:01,RT @NaryD1: I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/0ShPKZYZl2 - on behalf of @pybites https:…
1009308957066883072,2018-06-20 05:36:22,RT @mohhinder: Day 22: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Alex Gaynor - Learning From Failure: Post Mortems https:…
1009218072849321990,2018-06-19 23:35:13,RT @janferko: Day 89: #100DaysOfCode progress: today I worked on: I implemented my own beer storage inventory using sqlite3 https://t.co/Su…
1009194899953127430,2018-06-19 22:03:08,"RT @PythonWeekly: Accepting Payments with Stripe, Vue.js, and Flask via @testdrivenio https://t.co/at3fpD1SOb #python #flask #stripe #vuejs…"
1009194697489776644,2018-06-19 22:02:20,"RT @TheTinkerboi: For 21/100 coding in #Python for #100DaysOfCode, I did more itertools stuff and practiced with bite 64 (https://t.co/YUh1…"
1009194640589905920,2018-06-19 22:02:06,RT @secdevthing: Day 91: #100DaysOfCode progress: today I worked on Database access with SQLAlchemy / D1 (lectures) https://t.co/XARY1x1H8k…
1009194530183237634,2018-06-19 22:01:40,@danielholme You are cracking m fast! https://t.co/tNeDP5kU8l
1009194225043427329,2018-06-19 22:00:27,"@MarekTP Not familiar with MQTT, tell us more?"
1009192516669857792,2018-06-19 21:53:40,"@secdevthing @TalkPython 9 days left, so close :)"
1009192128218652674,2018-06-19 21:52:07,@thelynchpinau @devtazv2 @TalkPython And ETL! Not sure what it stands for but it has to do with getting it from one format into the other
1009163529348354050,2018-06-19 19:58:29,RT @danielholme: I just cracked Bite of Py 47. Write a new password field validator - on behalf of @pybites I Challenge You!  https://t.co/…
1009123026611458048,2018-06-19 17:17:32,"RT @mariatta: And if people have trouble installing Python 3.6, @realpython has the ultimate guide: https://t.co/NwZdu7zUI7"
1009122978032947200,2018-06-19 17:17:21,RT @llanga: As for great features of Python 3.6 that Black is using:- f-strings- ordered dictionaries by default- compact dictionaries a…
1009122383884582912,2018-06-19 17:14:59,RT @devtazv2: @bbelderbos @pybites Collections always impressive. Slicing here looks easier but deque is more useful in real
1009122325676126208,2018-06-19 17:14:45,RT @NaryD1: Day 5: #100DaysOfCode progress: today I worked on Bite 108 - Loop over a dict of namedtuples calculating a total score https://…
1009122250694504448,2018-06-19 17:14:27,"RT @danielholme: I just cracked Bite of Py 25. No promo twice, keep state in a class - on behalf of @pybites I Challenge You!  https://t.co…"
1009122218201239553,2018-06-19 17:14:20,RT @danielholme: I just cracked Bite of Py 41. Write a login_required decorator - on behalf of @pybites I Challenge You!  https://t.co/U5UB…
1009042517818474496,2018-06-19 11:57:38,PyBites Code Challenges | Bite 2. Regex Fun https://t.co/by6FSKpYvN149 out of 170 users completed this Bite ...W… https://t.co/ClA9hwYlg5
1009041095794229250,2018-06-19 11:51:58,@thelynchpinau @TalkPython wow that is awesome
1009041059236712448,2018-06-19 11:51:50,RT @thelynchpinau: Day 65: #100DaysOfCode  progress: Today I set up an automated email with smtp and mine that sends me changes in competit…
1009024752185462784,2018-06-19 10:47:02,"“#DjangoTip: Select &amp; Prefetch Related” by @LucasMagn https://t.co/JO6PcgJW4m - good to know: ""we can not use the s… https://t.co/DRX85I0S2y"
1009013629289680897,2018-06-19 10:02:50,"@DLibatique10 Welcome on board, PCC02 can be a bit harder yes, let us know. You can also try some free (smaller) Bite exercises"
1009013224157704192,2018-06-19 10:01:13,RT @NaryD1: I just cracked Bite of Py 104. Split and join - on behalf of @pybites I Challenge You!  https://t.co/hCC1J0pRTI #Python #CodeCh…
1009013206189256704,2018-06-19 10:01:09,RT @NaryD1: I just cracked Bite of Py 107. Filter numbers with a list comprehension - on behalf of @pybites I Challenge You!  https://t.co/…
1009013135045529600,2018-06-19 10:00:52,RT @jonchewyl: Day 3: #100DaysOfCode progress: today I went back to my EI Roots working on the Bite 38 - Using ElementTree to parse XML htt…
1009013027746865152,2018-06-19 10:00:27,RT @vipinreyo: Day 6: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Alvaro Leiva Geisse - Systemd: why you should care as a P…
1009011845569662976,2018-06-19 09:55:45,"Check out a bunch of cool #Python stuff in our new PyBites Twitter Digest - Issue 20, 2018 -… https://t.co/l581QEP2LB"
1008960584178683904,2018-06-19 06:32:03,"RT @mkennedy: Pretty cool to be featured in @realpython's Ultimate list of Python *YouTube* channels. Yeah, guess I do things on YouTube so…"
1008960317907456000,2018-06-19 06:31:00,RT @mohhinder: Day 21: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Dan Callahan - Keynote https://t.co/Eb6RtsJ88l #Python v…
1008960059030884352,2018-06-19 06:29:58,RT @DLibatique10: Just attempted @pybites's first challenge in the #100DaysOfCode and was glad to see I was able to complete it pretty well…
1008953046091436032,2018-06-19 06:02:06,Free @PacktPub ebook of the day: #Python for Secret Agents - https://t.co/t2aLcaSm56
1008827045672046592,2018-06-18 21:41:25,"@secdevthing @TalkPython Sounds exciting, can't wait to see it if you deploy it :)"
1008826894396084227,2018-06-18 21:40:49,RT @devtazv2: Day 82: #100DaysOfCode progress: today I worked on Data visualization with Plotly / D1 (lectures) https://t.co/t2NNmXay0r #Py…
1008826871507816448,2018-06-18 21:40:43,RT @vipinreyo: Day 5: #100DaysOfCode progress: today I worked on Bite 30 - Movie data analysis https://t.co/96SkMxKJHO #Python via @pybites…
1008826002494099458,2018-06-18 21:37:16,New @ https://t.co/UYcrpuWnxX: upon completing a Bite you'll find a Discussion tab with link to a message thread on… https://t.co/JAtrWSikiF
1008731483433992194,2018-06-18 15:21:41,RT @NaryD1: Day 4: #100DaysOfCode progress: today I worked on Bite 5 - Parse a list of names https://t.co/ZaoEqFQuou #Python via @pybites #…
1008682797064687616,2018-06-18 12:08:13,RT @billglennon: Episode #164 Python in Brain Research at the Allen Institute https://t.co/7jWbNFZHZ0  was extremely interesting! Highly re…
1008682400925265920,2018-06-18 12:06:39,RT @thelynchpinau: Day 64: #100DaysOfCode progress: today I sent an email with component prices I scrapped. Looking forward to combining le…
1008667710618767361,2018-06-18 11:08:17,“10 common security gotchas in #Python and how to avoid them” by @anthonypjshaw https://t.co/1oD2iPhsEy
1008632899875364864,2018-06-18 08:49:57,@cclai999 @TalkPython Any interesting refactoring candidates?
1008632845974298624,2018-06-18 08:49:44,RT @cclai999: Day 34: #100DaysOfCode progress: today I worked on Refactoring / Pythonic code / D1 (lectures) https://t.co/AuNZCZI0jE #Pytho…
1008632800256421888,2018-06-18 08:49:33,@TheSpencerT @nicjamesgreen @TalkPython Pandas would be a candidate to add to our platform ...
1008632338224467968,2018-06-18 08:47:43,"RT @python_tip: In #Python3, the print function has options* 'sep' to separate the arguments* 'end' to be printed after the last argument…"
1008593864721084416,2018-06-18 06:14:50,RT @NaryD1: Day 3: #100DaysOfCode progress: today I worked on Bite 3 - Word Values https://t.co/XVmJ50wjwF #Python via @pybites #pybites10
1008590647274553344,2018-06-18 06:02:03,Free @PacktPub ebook of the day: Artificial Intelligence with #Python - https://t.co/t2aLcaSm56
1008432429340733440,2018-06-17 19:33:21,"@Mridu__ @mohhinder @Mridu__ thanks, long time ... how have you been?"
1008432138000175137,2018-06-17 19:32:12,RT @vipinreyo: Day 4: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Alex Petralia - Analyzing Data: What pandas and SQL Taugh…
1008326900362764288,2018-06-17 12:34:01,RT @NaryD1: Day 2: #100DaysOfCode progress: today I completed Bite 2 - Regex Fun https://t.co/6cE57X5gtl #Python via @pybites #pybites10
1008326850983186432,2018-06-17 12:33:49,RT @thelynchpinau: Day 63: #100DaysOfCode  progress: today I worked on Automating emails with smtplib most of the  work was scraping the da…
1008326820805185537,2018-06-17 12:33:42,RT @mohhinder: Day 20: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Russell Keith-Magee - Building a cross-platform native a…
1008165803324264448,2018-06-17 01:53:52,RT @vipinreyo: Day 2: #100DaysOfCode progress: today I worked on Bite 106 - Strip out vowels and count the number of replacements https://t…
1008165785351737345,2018-06-17 01:53:48,RT @vipinreyo: Day 3: #100DaysOfCode progress: today I worked on Bite 69 - Regex Fun - part II https://t.co/BQF2imx2kX #Python via @pybites…
1008165725738070017,2018-06-17 01:53:34,RT @JonChewYL: Day 1: #100DaysOfCode progress: today I worked on Bite 21 - Query a nested data structure https://t.co/dbwcnMoDut #Python vi…
1008127466953723904,2018-06-16 23:21:32,RT @secdevthing: Day 88: #100DaysOfCode progress: today I worked on Home Inventory App / D1 (lectures) https://t.co/XARY1x1H8k #Python @pyb…
1008127254583443459,2018-06-16 23:20:42,RT @mohhinder: Day 19: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Carl Meyer - Type-checked Python in the real world https…
1008011943205105664,2018-06-16 15:42:29,RT @NaryD1: I just cracked Bite of Py 103. Loop through a dictionary and pluralise a word - on behalf of @pybites I Challenge You!  https:/…
1008000764193771521,2018-06-16 14:58:04,RT @driscollis: PyDev of the Week: Naomi Ceder - https://t.co/uCo4RxO2X2 @NaomiCeder @ThePSF #Python
1008000108053585920,2018-06-16 14:55:28,"RT @Mooredvdcoll: Accepting Payments with Stripe, Vue.js, and Flask https://t.co/hJ1M9H35X1 via @testdrivenio"
1008000057461833729,2018-06-16 14:55:16,RT @TalkPython: Just released @talkpython episode #166: Continuous deliver with Python with @tryexceptpass https://t.co/v7iJRrdl9Z So many…
1007935576643907585,2018-06-16 10:39:02,"RT @izznogooood: Thanks @mkennedy for a Jumpstart in deed! Most complete course I ever did, you have a way of delivering tons of informatio…"
1007935181569880065,2018-06-16 10:37:28,RT @mohhinder: Day 18: #100DaysOfCode progress: today I watched a #PyCon2018 talk: Andrew Knight - Behavior-Driven Python https://t.co/Cf0E…
1007935132769177600,2018-06-16 10:37:16,RT @NaryD1: Day 1: #100DaysOfCode progress: today I worked on Bite 1 - Sum n numbers https://t.co/gp6RUE7leK #Python via @pybites #pybites10
1007885111701004288,2018-06-16 07:18:30,"@mohhinder Love this reminder, need to catch up myself :)"
1007884961209356288,2018-06-16 07:17:55,"@BlueGator4 Cool, expect those hints to decrease though after the Intro Bites ;)"
1007884831991238656,2018-06-16 07:17:24,"RT @BlueGator4: Just finished PyBite 105 (https://t.co/VqVtSmPILv).  I like how @pybites slips little hints into their code (ahem, 'ascii_l…"
