id_str,created_at,text
830201523854413825,2017-02-10 23:47:22,#Película #Comedia #SundanceChannel (01:55-03:25): Standby https://t.co/kk30eRTRoW
830201501708537856,2017-02-10 23:47:17,#Película #Dramas #ParamountChannel (01:52-03:40): El amante de Lady Chatterley https://t.co/gA2gUAP2c4
830201478593683456,2017-02-10 23:47:11,#Película #PelículasDelOeste #13tv (01:45-04:30): John Wayne y los cowboys https://t.co/5VnviimiAZ
830201456409997312,2017-02-10 23:47:06,#Película #Terror #MovistarEstrenos (01:45-03:25): Poltergeist https://t.co/Xy8YtGEgE3
830201433894957056,2017-02-10 23:47:00,#Película #Acción #MovistarAcción (01:35-03:30): Eraser https://t.co/RPhnWZRjaL
830201411451228160,2017-02-10 23:46:55,#Película #PelículasPoliciacas #AXNWhite (01:32-03:12): Soy el número cuatro https://t.co/8LQ8sMCeCl
830201389275975680,2017-02-10 23:46:50,#Película #Comedia #ComedyCentral (01:32-03:11): Supercondríaco https://t.co/wtBeRXOfPW
830201366882562048,2017-02-10 23:46:44,#Película #Suspense #TNT (01:32-03:02): Blitz https://t.co/uX4iXIk9jR
830201344564686848,2017-02-10 23:46:39,#Película #Acción #ExtremeTeuve (01:27-02:55): El protector https://t.co/1xndafak2X
830201321928028162,2017-02-10 23:46:34,#Película #Suspense #MovistarComedia (01:25-03:00): Tipos legales https://t.co/n6pPNZGrQE
830201299383701504,2017-02-10 23:46:28,#Película #Comedia #Syfy (01:22-02:40): Doctor Dolittle https://t.co/WU5hoxVf5f
830201277049036800,2017-02-10 23:46:23,#Película #PelículasDelOeste #TCM (01:20-03:15): Pat Garrett y Billy el niño https://t.co/0MjKMTXmBE
830201254001274880,2017-02-10 23:46:18,#Película #Acción #Hollywood+1 (01:15-03:10): Terminator Salvation https://t.co/qUNmp7VEn6
830201231603752961,2017-02-10 23:46:12,#Película #Comedia #Dark (01:15-02:43): A Little Bit Zombie https://t.co/okzzDMa2zA
830201209462009856,2017-02-10 23:46:07,#Película #Dramas #MovistarDCine (01:00-02:50): La flor del mal https://t.co/EN1x7LTwqc
830186375269933056,2017-02-10 22:47:10,"#Película #Comedia #MovistarCineEspañol (00:55-02:15): Oh, cielos https://t.co/MSpCr90AaG"
830186352985534465,2017-02-10 22:47:05,#Película #Acción #Cuatro (00:50-02:35): Soldados de fortuna https://t.co/MeiJkRom31
830186330600583168,2017-02-10 22:46:59,#Película #Terror #Neox (00:35-02:45): Dead Rising https://t.co/Xjvo32VcnP
830186308429443072,2017-02-10 22:46:54,#Película #Suspense #Somos (00:35-02:35): Asalto al banco central https://t.co/VyxytsPKVS
830186286111547394,2017-02-10 22:46:49,#Película #Suspense #TCM+1 (00:35-02:20): El protegido https://t.co/gTX0mv1DNy
830186263470759936,2017-02-10 22:46:43,#Película #Acción #FOX (00:35-02:11): Rocky Balboa https://t.co/6fQL4CSFCV
830186241312165888,2017-02-10 22:46:38,#Película #CienciaFicción #AMC (00:30-02:05): Skyline https://t.co/CWBh9VA9z4
830186219053031424,2017-02-10 22:46:33,#Película #Acción #Hollywood (00:15-02:10): Terminator Salvation https://t.co/qUNmp7VEn6
830186196709974017,2017-02-10 22:46:28,#Película #Dramas #SundanceChannel (00:10-01:55): Set Fire To The Stars https://t.co/JkiuzO1LbK
830186174513770496,2017-02-10 22:46:22,#Película #Comedia #Nova (00:10-01:45): Paraíso para dos https://t.co/MWlBMzVcCf
830186152267128832,2017-02-10 22:46:17,#Película #PelículasDelOeste #IntereconomíaTV (00:10-01:30): Centauros del desierto https://t.co/7skulLvs53
830186129873711104,2017-02-10 22:46:12,#Película #Comedia #FOXLife (00:07-01:47): Un encuentro prometedor https://t.co/BUpquq08fa
830186107702693888,2017-02-10 22:46:06,#Película #Suspense #AXN (00:05-02:24): El código Da Vinci https://t.co/R8LFcApI2E
830186085380616193,2017-02-10 22:46:01,#Película #Terror #Dark (00:00-01:15): Reset https://t.co/Ec6vKEBCQM
830171345300262914,2017-02-10 21:47:27,#Película #Dramas #ParamountChannel (23:55-01:52): Diario de una ninfómana https://t.co/fiQzNsOpks
830171322902728704,2017-02-10 21:47:21,#Película #Suspense #MovistarEstrenos (23:55-01:45): Calle Cloverfield 10 https://t.co/PiewjMnT4I
830171300718993409,2017-02-10 21:47:16,#Película #CienciaFicción #ExtremeTeuve (23:50-01:27): Soldado universal https://t.co/EMoiQ0i8d1
830171278560501760,2017-02-10 21:47:11,#Película #Comedia #MovistarComedia (23:50-01:25): Ride. Al ritmo de las olas https://t.co/ANLRV7uEKU
830171256120946688,2017-02-10 21:47:05,#Película #Acción #MovistarAcción (23:45-01:35): Fast &amp; Furious: Aún más rápido https://t.co/7gvCct1QXk
830171233857572865,2017-02-10 21:47:00,#Película #Suspense #La1 (23:45-01:35): Escobar: Paraíso perdido https://t.co/bi4dmS03ya
830171211422265344,2017-02-10 21:46:55,#Película #Acción #TNT (23:43-01:32): G.I. Joe https://t.co/avKzzyfEPZ
830171189163155456,2017-02-10 21:46:49,#Película #Acción #AXNWhite (23:40-01:32): Largo Winch: Conspiración en Birmania https://t.co/VBdSQjF8Hw
830171166748745728,2017-02-10 21:46:44,#Película #Suspense #TCM (23:35-01:20): El protegido https://t.co/gTX0mv1DNy
830171144607010816,2017-02-10 21:46:39,#Película #Comedia #COSMO (23:10-00:33): Diversión XL https://t.co/6sGEQ9zSv9
830171122507210752,2017-02-10 21:46:34,#Película #Comedia #MovistarCineEspañol (23:05-00:55): El bosque animado https://t.co/KdwV2bws0U
