id_str,created_at,text
830177962049708033,2017-02-10 22:13:44,Vue.js is a community-funded JavaScript framework that just reached 2M downloads. @youyuxi shares his story.… https://t.co/Ed66eG7zJp
830110197402071040,2017-02-10 17:44:28,"If you missed #gitmerge, don't worry. We'll share session recordings soon. In the meantime, here's a short recap. https://t.co/vCAvpvtpIU"
829860503040057345,2017-02-10 01:12:16,"RT @electronjs: We're starting a ""Project of the Week"" blog series. First up is Kap, an open-source screen recording app.https://t.co/Sbd…"
829406666009370624,2017-02-08 19:08:53,".@kytrinyx is the creator of Exercism, an open source platform for learning programming languages. Here's her story. https://t.co/yLhMD1zA2I"
829371041424166913,2017-02-08 16:47:19,"We're hosting a webcast on the basics of using GitHub at work, like issues and mentions. Join us on 2/13!… https://t.co/IPLNPsQqcL"
829146465859571712,2017-02-08 01:54:56,"We're updating our Terms of Service soon, and we'd like your feedback! Please look over the new Terms by Feb 21. https://t.co/t5rHQX5lbN"
829043390884884480,2017-02-07 19:05:21,"Announcing Inform and Act, our initiative to support communities most impacted by executive orders and actions. https://t.co/Q0al7asFlz"
829021239872086016,2017-02-07 17:37:20,"#githubsatellite is headed to London, May 22-23! In the meantime, pick up an early bird ticket or submit a talk.… https://t.co/G49lFaJlzq"
828666140075323398,2017-02-06 18:06:18,Thinking of applying to GSoC as an organization? We have a few ideas on how to run a successful mentorship project.… https://t.co/KQA8EcNZvN
827637972434505729,2017-02-03 22:00:44,We're hosting a webcast on a few basics of using GitHub at work 💼. Join us on 2/13. https://t.co/3jXtVBoJD6
827448361464668160,2017-02-03 09:27:17,"Good morning from Brussels! If you're tuning in from home, #gitmerge is live on https://t.co/vcYN2kgsa5. https://t.co/fL8WmEWuuf"
827303166894956544,2017-02-02 23:50:20,How are teachers using GitHub? @GitHubEducation shares how educators are changing the way we learn to code. https://t.co/W36D76O9hm
827070852621430784,2017-02-02 08:27:12,"It's time for #gitmerge! Workshops are underway, but you can tune into the livestream tomorrow, Feb 3, at 10:00 CET… https://t.co/siwiiksdjP"
826937536220061696,2017-02-01 23:37:27,See your project's history with the Activity view. https://t.co/xcAPmLlzHP https://t.co/YmbflSEoAn
826543147932987392,2017-01-31 21:30:17,A new way to discover and connect GitHub repositories. https://t.co/JVJCj8JzeV
826206514167681025,2017-01-30 23:12:37,"There's a new way to recover your GitHub account in 2FA lockout scenarios, available January 31.… https://t.co/F2ldqIUJq0"
825594478173904900,2017-01-29 06:40:37,"RT @defunkt: This ban is wrong. It goes against GitHub's values and it goes against America's values. We make progress together, not apart."
823936923194433536,2017-01-24 16:54:05,RT @electronjs: New to Electron development? We put together some simple sample apps to help you get started.https://t.co/CNBr1qgABc http…
823624575531421696,2017-01-23 20:12:55,Filter pull requests by review status to see where you're needed most. https://t.co/Zve4PunayR
823590567758229504,2017-01-23 17:57:47,Want to help us improve our content security policy? Here's a summary of our CSP journey so far from @patricktoomey… https://t.co/mB1176YtWo
822498634780446721,2017-01-20 17:38:50,"Review code and make changes to pull requests, all within Visual Studio. https://t.co/TUM3Dldr7B"
822189899784667136,2017-01-19 21:12:02,"Data from millions of open source repositories are ready for you to explore, from geography to emoji 📊. Learn how. https://t.co/clYyo9QcQr"
822135692180344832,2017-01-19 17:36:38,There's still time to submit a #gitmerge lightning talk. The extended deadline is January 24.… https://t.co/XGxbSqFj4H
821833921859973120,2017-01-18 21:37:30,Navigating file history is now even faster. Manipulate space and time with improved blame view.… https://t.co/M10Pa49mqH
821405036961902593,2017-01-17 17:13:16,RT @GitHubEducation: Flatiron School joins the Student Developer Pack offering their Community-Powered Bootcamp:https://t.co/8RIVt2tGNL h…
