id_str,created_at,text
830159668307582976,2017-02-10 21:01:03,The Art and Science of Training #AssociationforTalentDevelopment https://t.co/6q0FgDIRCO #PersonalDevelopment #ProfessionalDevelopment
830159654567055360,2017-02-10 21:00:59,Family Dynamics and Romantic Relationships in a Changing Society #IGIGlobal https://t.co/teWTLn8xyf #MicrosoftDynamics
830159640851648512,2017-02-10 21:00:56,Microsoft 70-246: Monitoring and Operating a Private Cloud with System Center 2012 #iCollege https://t.co/9torTw0B8n #CloudComputing
830159626867912704,2017-02-10 21:00:53,Learning Path: R Programming #PacktPublishing https://t.co/zjuTCTAayO #R
830159613014052866,2017-02-10 21:00:50,#Share #BusinessExpertPress https://t.co/wm4E0mFSxf #SocialMedia
830159598950572033,2017-02-10 21:00:46,LEARNING PATH: Master Googles Go #PacktPublishing https://t.co/PtiDFlNyD1 #Go
830159584958443521,2017-02-10 21:00:43,Mastering Go Programming #PacktPublishing https://t.co/MXrN8p9wXw #Go
830159571058462721,2017-02-10 21:00:40,Swift 3 Game Development - Second Edition #PacktPublishing https://t.co/VPG7ElIRKY #Swift
830159557108207616,2017-02-10 21:00:36,"PHP Objects, Patterns, and Practice, Fifth Edition #Apress https://t.co/b0hkhezy4P #PHP"
830159542944030721,2017-02-10 21:00:33,Certified Information Systems Security Professional (CISSP) #iCollege https://t.co/yYJ7jsxIVx #Security
830159528951832576,2017-02-10 21:00:29,Learning Path: Python GUI Projects #PacktPublishing https://t.co/CVMpU3bZwr #Python
830159515349774336,2017-02-10 21:00:26,Introducing Materialize #Apress https://t.co/3PvWv3IwOx #CSS
830159501152047104,2017-02-10 21:00:23,Emotional Self-Awareness: A Primer #MoreThanSound https://t.co/Qb84Rm3t1M #LeadingTeams
830159487390474240,2017-02-10 21:00:20,Making Change Happen in the Enterprise #OReillyMedia https://t.co/700LLQrsUd #Entrepreneurship
830159473591226368,2017-02-10 21:00:16,High Accuracy Orbit Determination for Spacecraft Flybys #IGIGlobal https://t.co/GPQ1301RG4 #Engineering
830159459636776960,2017-02-10 21:00:13,OpenCV 3 by Example #PacktPublishing https://t.co/3FUaBKx65r #Video #Film
830159445569048576,2017-02-10 21:00:10,Learning Path: Wireshark 2 - The Advanced Network Analysis Tool #PacktPublishing https://t.co/W8emjyMXuh #ComputerNetworking
830159431526600704,2017-02-10 21:00:06,Project Management Training #AssociationforTalentDevelopment https://t.co/lgWb3s47Mg #ProjectManagement
829797340865191936,2017-02-09 21:01:17,Design Solutions and Innovations in Temporary Structures #IGIGlobal https://t.co/frvyzQ2YQA #Engineering
829797327086891009,2017-02-09 21:01:14,Applying Predictive Analytics Within the Service Sector #IGIGlobal https://t.co/IakGxB2BNY #Analytics
