id_str,created_at,text
830174712252743681,2017-02-10 22:00:49,9 Tricks for Being Treated Like a VIP at Restaurants https://t.co/FJTINfMa58
830151965111840768,2017-02-10 20:30:26,Jony Ive’s Secret Coffee Ritual https://t.co/1XQr1u5p6V
830136870071889920,2017-02-10 19:30:27,What My Morning Journal Looks Like https://t.co/CepWFXJ5nJ
830129406861533184,2017-02-10 19:00:48,Reinventing the Office: How to Lose Fat and Increase Productivity at Work https://t.co/Y5oYSaSGUU https://t.co/pQ5nvShHRB
830101610890137601,2017-02-10 17:10:21,The Perfect Posterior: Kettlebell Swings and Cheap Alternatives https://t.co/y854X8YrXC
830084224086585344,2017-02-10 16:01:15,"Tony Robbins on Morning Routines, Peak Performance, and Mastering Money https://t.co/MES1lyOsTh"
830069274672783361,2017-02-10 15:01:51,"Hacking Kickstarter: How to Raise $100,000 in 10 Days (Includes Successful Templates, E-mails, etc.) https://t.co/p4f14zMJwW"
830061452123840512,2017-02-10 14:30:46,"How to Overcome Fear – Lessons from Firefighter and Luger, Caroline Paul https://t.co/KOlsVhfAkW"
830046274338562048,2017-02-10 13:30:27,Ever wonder if your time is misused or wasted? This might help.https://t.co/R1P9WOZWWl
829963265602109440,2017-02-10 08:00:37,How to Build a World-Class Network in Record Time https://t.co/V7q6M2v4Mz https://t.co/owdyFRYnrW
829933141447958528,2017-02-10 06:00:54,"How to Be Jason Bourne: Multiple Passports, Swiss Banking, and Crossing Borders #tbt https://t.co/aKdWH571pc"
829903389559574529,2017-02-10 04:02:41,I'm doing a round 2 Q&amp;A with the incredible Caroline Paul. Any questions or topics you'd like to request?
829872799086997505,2017-02-10 02:01:08,"Maria Popova on Writing, Workflow, and Workarounds https://t.co/3sfKogq4X3"
829846172072292352,2017-02-10 00:15:19,"Investment Series Preview: The ""Good Bye and F__k You"" Letter #tbt https://t.co/hGiEPsJGHF"
829812393232437248,2017-02-09 22:01:06,"Marc Andreessen — Lessons, Predictions, and Recommendations from an Icon https://t.co/5Hp67hQOOq"
829798359544320000,2017-02-09 21:05:20,"Have you checked out ""5-Bullet Friday?"" 5 new goodies and tips I'm enjoying. Access it here: https://t.co/s39qNDqPiL https://t.co/Pr9jxNDCZB"
829782242989842432,2017-02-09 20:01:17,How to Think Like Elon Musk and Jeff Bezos https://t.co/qZ6qkS8dN6
829767110817628160,2017-02-09 19:01:10,Picking Warren Buffett's Brain: Notes from a Novice #tbt https://t.co/JHDfU0DYPG
829754316168761344,2017-02-09 18:10:19,The Art and Science of Learning Anything Faster https://t.co/4b4Z0FfAd2
829722970511855616,2017-02-09 16:05:46,Preventing Burnout: A Cautionary Tale https://t.co/Ys4DzyG32Z
829691712322801667,2017-02-09 14:01:33,"Hacking Kickstarter: How to Raise $100,000 in 10 Days (Includes Successful Templates, E-mails, etc.) https://t.co/p4f14zMJwW"
829570784607748096,2017-02-09 06:01:02,Productivity: Push vs. Pull Processes https://t.co/nBcRNoADnR
829528051671298050,2017-02-09 03:11:14,How to Keep Feces Out of Your Bloodstream (or Lose 10 Pounds in 14 Days) https://t.co/6K3M0zW05m
829495028120576000,2017-02-09 01:00:00,You know you've made it when you're washing your armpits in a sink at LAX. #winning
829494288803205121,2017-02-09 00:57:04,"RT @SammyKoppelman: If you care about making yourself a better person, listen to @SomanChainani's interview with @tferriss. Insightful stuf…"
829463945249423360,2017-02-08 22:56:29,"“I don’t like depending on my art for income, because then I start to think in a mercenar... https://t.co/LD9hnGbV8s https://t.co/GWCePDHtmb"
829442940468596736,2017-02-08 21:33:01,NEW podcast up! Soman Chainani — The School for Good and Evil https://t.co/x2knhQQn44 This one was a blast. https://t.co/jrzSIfnDfK
829434985526489089,2017-02-08 21:01:25,Scientific Speed Reading: How to Read 300% Faster in 20 Minutes https://t.co/MfDECrhxJG https://t.co/YZjMjJR4y1
829410008488038400,2017-02-08 19:22:10,@RonaldVMillerJr I don't think they're mutually exclusive.
829407031589224448,2017-02-08 19:10:20,Edward Norton on Must-Read Books and Mastery https://t.co/eHlGrRHn6r
829387650998038528,2017-02-08 17:53:19,:) https://t.co/54fThjnD6s
829387424807612416,2017-02-08 17:52:26,"Thanks for being on the podcast, Soman! Loved recording this episode. https://t.co/W58Fdqt8B6"
829386793007071233,2017-02-08 17:49:55,"Super curious -- If you've been reading Stoicism (Seneca, Marcus Aurelius, etc.), what principles/passages/exercises have you found helpful?"
829379361857994752,2017-02-08 17:20:23,12+ Gems of the Pacific Northwest Coast https://t.co/0xnDwyCnY5
829344324903133186,2017-02-08 15:01:10,How to Create a Million-Dollar Business This Weekend #tbt https://t.co/IsGWeHXWdW https://t.co/kkXfhxrCMu
829321500138287107,2017-02-08 13:30:28,"Rolf Potts on Travel Tactics, Creating Time Wealth, and Lateral Thinking https://t.co/Do56AjIngu https://t.co/1rxwdeoOgA"
829207234655698944,2017-02-08 05:56:25,"How's the Tools of Titans Facebook group in Tokyo doing? Any traction in Japan? Worldwide, which cities seem the largest at this point?"
829202936337166336,2017-02-08 05:39:20,".@neilhimself We must get you on the podcast someday, good sir!"
829193889286336513,2017-02-08 05:03:23,"RT @andrewrrandall: ""Sometimes, you think you have to figure out your life's purpose, but you really just need some macadamia nuts and a co…"
829192745839374337,2017-02-08 04:58:50,RT @neilhimself: @tferriss He really is.
829192693158928388,2017-02-08 04:58:38,RT @GlennF: He is extremely interesting. Also a great person to talk to about … anything https://t.co/mttimZ3JOV
829191885113720832,2017-02-08 04:55:25,"RT @n8dunn: Thank you, @tferriss, for recommending @kamalravikant's book, ""Rebirth."" Finished it in 24 hours. Great read."
829190559273254912,2017-02-08 04:50:09,RT @CherylStrayed: Going to @sxsw? Come on out on 3/11 and see @tferriss interview me for a live recording of his fab podcast. https://t.co…
829150991912153089,2017-02-08 02:12:56,Coming to @SXSW? Come see The Tim Ferriss Show LIVE with @CherylStrayed on March 11! https://t.co/OQDQib5diu
