id_str,created_at,text
830198917128142848,2017-02-10 23:37:00,I'm really excited to see Python core development moving to GitHub. Pretty sure this will increase contributions. 👏https://t.co/OtVCmWnOJG
830188270029926400,2017-02-10 22:54:42,@KyFaSt 😋 I'm going to go to Australia one day
830175535087116288,2017-02-10 22:04:06,itertools chat tomorrow at 10am US Pacific Time ⏰Let's talk about iterating over stuff!https://t.co/iaCHbnJdOY
830159487700832256,2017-02-10 21:00:20,I love it when friends from different parts of the tech world (&amp; different parts of the world) meet each other. 💖 🗺 💻
830158720747212800,2017-02-10 20:57:17,The @pycon financial aid deadline is Wednesday. Apply today to make sure you don't forget.https://t.co/XoEWn84CVp
830157576876617728,2017-02-10 20:52:44,@Shay_nuh__ wow you spoke at #rubyconf_au too?! That's awesome! 😸I hope you got to run into @glasnt &amp; @KyFaSt during the conference.
830141788371505152,2017-02-10 19:50:00,RT @caligoanimus: Excited to share that I'll be going back to freelancing! Contact me if you're looking for an Ember expert on your project…
830109309149204480,2017-02-10 17:40:56,"RT @mariatta: 😆 ICYMI, a newly initiated Python core developer will be speaking at @pycon on Day 1! And she couldn't even contain her excit…"
829918315728494592,2017-02-10 05:02:00,Visualization of list-of-lists oddity using https://t.co/35DRBTb1Dk: https://t.co/u1uUofEEW5/cc @pgbovinehttps://t.co/L4iqwf8b16
829869750146711552,2017-02-10 01:49:01,"RT @pycon: Two weeks ago we announced the list of talks — now, you can see the dates and times! We unveil the talks schedule:https://t.co/…"
829868517981773824,2017-02-10 01:44:07,@adriennefriend don't know what counts as fascinating... I've probably had less than 12 drinks of alcohol in my life. 🍸
829850660459868160,2017-02-10 00:33:09,@glasnt @adriennefriend @KyFaSt 🙌
829806483705454592,2017-02-09 21:37:37,"RT @mcabrams1: OK #recruiter, that line was pretty good. #soylent #recruiteremails https://t.co/jD2vpy9ha8"
829797994631360512,2017-02-09 21:03:53,@MarkRosewood great! I'll be looking forward to answering your questions in upcoming chats! 😸
829796778857730048,2017-02-09 20:59:03,@pgbovine @WillingCarol I'd love to! 😄
829796292603699200,2017-02-09 20:57:07,@MarkRosewood there's a website/RSS feed for them (https://t.co/xPh4aepAgB) and I announce all my chats on my mailing list beforehand
829796132062507008,2017-02-09 20:56:29,@MarkRosewood yes! mostly...I think about 2/3 of my chats have been at the same time/day (Sat 10am PT)
