Tax Year,Municipality,Number of Returns,CT Income Tax,Tax Per Capita
2017,ANDOVER,1546,5751446.00,3720.00
2017,WOODSTOCK,3636,11706636.00,3220.00
2017,WOODBURY,4715,22649260.00,4804.00
2017,WOODBRIDGE,4116,43739647.00,10627.00
2017,WOLCOTT,7822,24596191.00,3144.00
2017,WINDSOR LOCKS,6519,14729802.00,2260.00
2017,WINDSOR,14975,41167367.00,2749.00
2017,WINDHAM,9566,12723078.00,1330.00
2017,WINCHESTER,4957,10612405.00,2141.00
2017,WILTON,7513,102381191.00,13627.00
2017,WILLINGTON,2635,8280838.00,3143.00
2017,WETHERSFIELD,13230,50870415.00,3845.00
2017,WESTPORT,11680,218578916.00,18714.00
2017,WESTON,4042,62378869.00,15433.00
2017,WEST HAVEN,24459,44681171.00,1827.00
2017,WEST HARTFORD,28746,187671397.00,6529.00
2017,WESTBROOK,3321,13865104.00,4175.00
2017,WATERTOWN,10530,34416348.00,3268.00
2017,WATERFORD,9609,32858979.00,3420.00
2017,WATERBURY,46812,56146024.00,1199.00
2017,WASHINGTON,1821,10875912.00,5972.00
2017,WARREN,434,1435438.00,3307.00
2017,WALLINGFORD,21794,74646914.00,3425.00
2017,VOLUNTOWN,1232,2932397.00,2380.00
2017,VERNON,14772,38598539.00,2613.00
2017,UNION,289,1025546.00,3549.00
2017,TRUMBULL,16095,84369657.00,5242.00
2017,TORRINGTON,16294,32527802.00,1996.00
2017,TOLLAND,6697,32414277.00,4840.00
2017,THOMPSON,4249,6071834.00,1429.00
2017,THOMASTON,3715,10014244.00,2696.00
2017,SUFFIELD,6473,38099944.00,5886.00
2017,STRATFORD,25458,66874483.00,2627.00
2017,STONINGTON,12818,57768016.00,4507.00
2017,STERLING,1438,2586837.00,1799.00
2017,STAMFORD,61485,888615940.00,14453.00
2017,STAFFORD,5503,13055695.00,2372.00
2017,SPRAGUE,1524,3389559.00,2224.00
2017,SOUTH WINDSOR,12305,56885512.00,4623.00
2017,SOUTHINGTON,20646,81069073.00,3927.00
2017,SOUTHBURY,9129,43634408.00,4780.00
2017,SOMERS,4347,19680925.00,4527.00
2017,SIMSBURY,10924,83349682.00,7630.00
2017,SHERMAN,1615,7194685.00,4455.00
2017,SHELTON,19774,73145450.00,3699.00
2017,SHARON,1045,6787866.00,6496.00
2017,SEYMOUR,8016,23392663.00,2918.00
2017,SCOTLAND,336,850208.00,2530.00
2017,SALISBURY,1657,7890821.00,4762.00
2017,SALEM,1924,7883931.00,4098.00
2017,ROXBURY,987,8105845.00,8213.00
2017,ROCKY HILL,9833,39267108.00,3993.00
2017,RIDGEFIELD,10449,112130480.00,10731.00
2017,REDDING,3983,37324049.00,9371.00
2017,PUTNAM,4055,5818571.00,1435.00
2017,PROSPECT,4487,16504967.00,3678.00
2017,PRESTON,2159,6130867.00,2840.00
2017,PORTLAND,4425,18196872.00,4112.00
2017,POMFRET,1880,6811385.00,3623.00
2017,PLYMOUTH,5770,14150946.00,2453.00
2017,PLAINVILLE,8903,22619200.00,2541.00
2017,PLAINFIELD,6578,11269174.00,1713.00
2017,OXFORD,5843,25945137.00,4440.00
2017,ORANGE,6671,39133954.00,5866.00
2017,OLD SAYBROOK,5270,30569500.00,5801.00
2017,OLD LYME,3777,28411090.00,7522.00
2017,NORWICH,17895,28699737.00,1604.00
2017,NORWALK,42446,190008373.00,4476.00
2017,NORTH STONINGTON,2388,8499842.00,3559.00
2017,NORTH HAVEN,11897,49097371.00,4127.00
2017,NORTH CANAAN,326,637293.00,1955.00
2017,NORTH BRANFORD,6839,24813135.00,3628.00
2017,NORFOLK,710,3175184.00,4472.00
2017,NEWTOWN,11893,73637620.00,6192.00
2017,NEW MILFORD,13088,38207942.00,2919.00
2017,NEW LONDON,11341,17206087.00,1517.00
2017,NEWINGTON,15503,45544542.00,2938.00
2017,NEW HAVEN,49101,96567123.00,1967.00
2017,NEW HARTFORD,3339,14523100.00,4350.00
2017,NEW FAIRFIELD,6123,21168446.00,3457.00
2017,NEW CANAAN,8159,190137495.00,23304.00
2017,NEW BRITAIN,31910,42285986.00,1325.00
2017,NAUGATUCK,14401,30950138.00,2149.00
2017,MORRIS,1051,4641713.00,4416.00
2017,MONTVILLE,8372,19970930.00,2385.00
2017,MONROE,8776,44819487.00,5107.00
2017,MILFORD,26140,116181524.00,4445.00
2017,MIDDLETOWN,21123,59059709.00,2796.00
2017,MIDDLEFIELD,2086,9008340.00,4318.00
2017,MIDDLEBURY,3434,25296640.00,7367.00
2017,MERIDEN,27728,53311160.00,1923.00
2017,MARLBOROUGH,2869,15293738.00,5331.00
2017,MANSFIELD,5293,19609793.00,3705.00
2017,MANCHESTER,28890,71287908.00,2468.00
2017,MADISON,8084,64027279.00,7920.00
2017,LYME,977,9981557.00,10217.00
2017,LITCHFIELD,3841,18483323.00,4812.00
2017,LISBON,1721,4730696.00,2749.00
2017,LEDYARD,6757,20732405.00,3068.00
2017,LEBANON,3318,10401879.00,3135.00
2017,KILLINGWORTH,2934,15241030.00,5195.00
2017,KILLINGLY,7932,13369389.00,1686.00
2017,KENT,1282,4510941.00,3519.00
2017,HEBRON,4264,20815229.00,4882.00
2017,HARWINTON,2603,10417293.00,4002.00
2017,HARTLAND,848,2925139.00,3449.00
2017,HARTFORD,49731,55173845.00,1109.00
