,Player,All_NBA,All.Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes.Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,Win.Share,WS_per_game,BPM,VORP,Executive,Tenure,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
1,Robert Parish,2,9,1976,8,GSW,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0,0.721,28.4,14.5,9.1,1.4,147,0.154,1.6,41.5,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
2,Sonny Parker,0,0,1976,17,GSW,Texas A&M University,6,452,10916,4471,1841,954,0.501,0,0.755,24.2,9.9,4.1,2.1,26.9,0.118,2.2,11.5,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
3,Marshall Rogers,0,0,1976,34,GSW,University of Texas-Pan American,1,26,176,100,11,10,0.371,0,0.933,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
4,Jeff Fosnes,0,0,1976,68,GSW,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
5,Carl Bird,0,0,1976,86,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
6,Duane Barnett,0,0,1976,91,GSW,Stanford University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
7,Gene Cunningham,0,0,1976,104,GSW,Norfolk State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
8,Jesse Campbell,0,0,1976,122,GSW,Mercyhurst College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
9,Stan Boskovich,0,0,1976,140,GSW,West Virginia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
10,Howard Smith,0,0,1976,157,GSW,University of San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
11,Ken Smith,0,0,1976,173,GSW,San Diego State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
12,Rickey Green,0,0,1977,16,GSW,University of Michigan,14,946,23271,8870,1819,5221,0.469,0.207,0.807,24.6,9.4,1.9,5.5,47.2,0.097,-1,5.8,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
13,Wesley Cox,0,0,1977,18,GSW,University of Louisville,2,74,813,342,206,23,0.412,0,0.51,11,4.6,2.8,0.3,0.1,0.007,-6.9,-1,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
14,Ricky Love,0,0,1977,38,GSW,University of Alabama at Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
15,Marlon Redmond,0,0,1977,60,GSW,University of San Francisco,2,77,1057,499,161,77,0.423,0,0.655,13.7,6.5,2.1,1,0.6,0.026,-3.8,-0.5,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
16,Roy Smith,0,0,1977,82,GSW,Kentucky State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
17,Leartha Scott,0,0,1977,87,GSW,University of Wisconsin-Parkside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
18,Ray Epps,0,0,1977,104,GSW,Norfolk State University,1,13,72,26,5,2,0.435,0,0.75,5.5,2,0.4,0.2,0.1,0.057,-6.9,-0.1,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
19,Jack Phelan,0,0,1977,126,GSW,Saint Francis University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
20,Jerry Thurston,0,0,1977,146,GSW,Mercer University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
21,Ricky Marsh,0,0,1977,165,GSW,Manhattan College,1,60,851,269,75,90,0.426,0,0.697,14.2,4.5,1.3,1.5,0.5,0.028,-4.3,-0.5,Al Attles,3641 days 00:00:00.000000000,1,2,1,0,0,0,0,0
22,Purvis Short,0,0,1978,5,GSW,Jackson State University,12,842,24549,14607,3625,2123,0.474,0.282,0.824,29.2,17.3,4.3,2.5,51.1,0.1,-0.1,11.6,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
23,Raymond Townsend,0,0,1978,22,GSW,"University of California, Los Angeles",3,154,2025,745,157,217,0.411,0.171,0.703,13.1,4.8,1,1.4,1,0.023,-4.6,-1.3,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
24,Wayne Cooper,0,0,1978,40,GSW,University of New Orleans,14,984,20274,7777,6095,852,0.457,0.146,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-1.7,1.4,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
25,Steve Neff,0,0,1978,56,GSW,Southern Nazarene University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
26,Derrick Jackson,0,0,1978,77,GSW,Georgetown University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
27,Bubba Wilson,0,0,1978,101,GSW,Western Carolina University,1,16,143,17,16,12,0.28,0,0.5,8.9,1.1,1,0.8,-0.2,-0.064,-7.5,-0.2,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
28,Buzz Hartnett,0,0,1978,122,GSW,University of San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
29,Rick Bernard,0,0,1978,142,GSW,Saint Mary's College of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
30,Tony Searcy,0,0,1978,163,GSW,Appalachian State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
31,Bobby Humbles,0,0,1978,179,GSW,Bradley University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
32,Mike Muff,0,0,1978,193,GSW,Murray State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,3,1,0,0,0,0,0
33,Danny Salisbury,0,0,1979,28,GSW,University of Texas-Pan American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
34,Cheese Johnson,0,0,1979,54,GSW,Wichita State University,1,9,53,27,14,2,0.4,0,0.6,5.9,3,1.6,0.2,0,-0.033,-9.7,-0.1,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
35,Ron Ripley,0,0,1979,75,GSW,University of Wisconsin-Green Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
36,Jerry Sichting,0,0,1979,82,GSW,Purdue University,10,598,12732,4141,817,1962,0.507,0.271,0.857,21.3,6.9,1.4,3.3,21.2,0.08,-2.7,-2.2,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
37,George Lett,0,0,1979,96,GSW,Centenary College of Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
38,Jim Mitchem,0,0,1979,118,GSW,DePaul University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
39,Ren Watson,0,0,1979,137,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
40,Mario Butler,0,0,1979,155,GSW,Briar Cliff University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
41,Gene Ransom,0,0,1979,175,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,4,1,0,0,0,0,0
